Lexema:   #FFFFFF      Tipo:  CodigoColor   Linea   14   Columna 21
Lexema:   ]      Tipo:  corcheteCerrar   Linea   14   Columna 21
Lexema:   ,      Tipo:  coma   Linea   14   Columna 22
Lexema:   [      Tipo:  corcheteAbrir   Linea   15   Columna 4
Lexema:   7      Tipo:  entero   Linea   15   Columna 6
Lexema:   ,      Tipo:  coma   Linea   15   Columna 6
Lexema:   1      Tipo:  entero   Linea   15   Columna 8
Lexema:   ,      Tipo:  coma   Linea   15   Columna 8
Lexema:   TRUE      Tipo:  boleano   Linea   15   Columna 13
Lexema:   ,      Tipo:  coma   Linea   15   Columna 13
Lexema:   #00FF00      Tipo:  CodigoColor   Linea   15   Columna 21
Lexema:   ]      Tipo:  corcheteCerrar   Linea   15   Columna 21
Lexema:   ,      Tipo:  coma   Linea   15   Columna 22
Lexema:   [      Tipo:  corcheteAbrir   Linea   16   Columna 4
Lexema:   8      Tipo:  entero   Linea   16   Columna 6
Lexema:   ,      Tipo:  coma   Linea   16   Columna 6
Lexema:   1      Tipo:  entero   Linea   16   Columna 8
Lexema:   ,      Tipo:  coma   Linea   16   Columna 8
Lexema:   TRUE      Tipo:  boleano   Linea   16   Columna 13
Lexema:   ,      Tipo:  coma   Linea   16   Columna 13
Lexema:   #00FF00      Tipo:  CodigoColor   Linea   16   Columna 21
Lexema:   ]      Tipo:  corcheteCerrar   Linea   16   Columna 21
Lexema:   ,      Tipo:  coma   Linea   16   Columna 22
Lexema:   [      Tipo:  corcheteAbrir   Linea   17   Columna 4
Lexema:   9      Tipo:  entero   Linea   17   Columna 6
Lexema:   ,      Tipo:  coma   Linea   17   Columna 6
Lexema:   1      Tipo:  entero   Linea   17   Columna 8
Lexema:   ,      Tipo:  coma   Linea   17   Columna 8
Lexema:   TRUE      Tipo:  boleano   Linea   17   Columna 13
Lexema:   ,      Tipo:  coma   Linea   17   Columna 13
Lexema:   #FFFFFF      Tipo:  CodigoColor   Linea   17   Columna 21
Lexema:   ]      Tipo:  corcheteCerrar   Linea   17   Columna 21
Lexema:   ,      Tipo:  coma   Linea   17   Columna 22
Lexema:   [      Tipo:  corcheteAbrir   Linea   18   Columna 4
Lexema:   10      Tipo:  entero   Linea   18   Columna 7
Lexema:   ,      Tipo:  coma   Linea   18   Columna 7
Lexema:   1      Tipo:  entero   Linea   18   Columna 9
Lexema:   ,      Tipo:  coma   Linea   18   Columna 9
Lexema:   TRUE      Tipo:  boleano   Linea   18   Columna 14
Lexema:   ,      Tipo:  coma   Linea   18   Columna 14
Lexema:   #000000      Tipo:  CodigoColor   Linea   18   Columna 22
Lexema:   ]      Tipo:  corcheteCerrar   Linea   18   Columna 22
Lexema:   ,      Tipo:  coma   Linea   18   Columna 23
Lexema:   [      Tipo:  corcheteAbrir   Linea   19   Columna 4
Lexema:   11      Tipo:  entero   Linea   19   Columna 7
Lexema:   ,      Tipo:  coma   Linea   19   Columna 7
Lexema:   1      Tipo:  entero   Linea   19   Columna 9
Lexema:   ,      Tipo:  coma   Linea   19   Columna 9
Lexema:   TRUE      Tipo:  boleano   Linea   19   Columna 14
Lexema:   ,      Tipo:  coma   Linea   19   Columna 14
Lexema:   #000000      Tipo:  CodigoColor   Linea   19   Columna 22
Lexema:   ]      Tipo:  corcheteCerrar   Linea   19   Columna 22
Lexema:   ,      Tipo:  coma   Linea   19   Columna 23
Lexema:   [      Tipo:  corcheteAbrir   Linea   20   Columna 4
Lexema:   12      Tipo:  entero   Linea   20   Columna 7
Lexema:   ,      Tipo:  coma   Linea   20   Columna 7
Lexema:   1      Tipo:  entero   Linea   20   Columna 9
Lexema:   ,      Tipo:  coma   Linea   20   Columna 9
